title|date|answers|url|post|area
Sou professora estadual em SP. Posso abrir MEI para prestar servicos no campo da educacao para  empresas privadas?|4 dias|0|/29853/professora-estadual-servicos-educacao-empresas-privadas|0|empresarial
Professor de São Bernardo do Campo pode ter MEI ou outro tipo de CNPJ?|em 9 de junho de 2021|0|/29718/professor-de-sao-bernardo-campo-pode-ter-mei-outro-tipo-cnpj|Sou professora da rede de São Bernardo e gostaria de abrir um CNPJ para minha empresa, preciso tirar essa dúvida.|empresarial
Tive 15 falta durante o ano faltas que já foram descontadas no meu salário e agora a empresa descontou de novo nas minhas férias e certo, o que devo fazer|em 10 de maio de 2021|0|/29591/durante-descontadas-salario-empresa-descontou-minhas-ferias|Descontou nas férias 738,00 equivalente aos 16 dias de falta. Só que essas faltas já tinham sido descontadas nós salários.|empresarial
Esposo de vice prefeita não pode fazer parte de uma diretoria de um hospital filamtrópico?|em 16 de janeiro de 2021|0|/28722/esposo-prefeita-fazer-parte-diretoria-hospital-filamtropico|0|empresarial
Por que as empresas públicas e sociedades de economia mista são consideradas como pessoa jurídica de direito privado?|em 24 de setembro de 2020|0|/27776/empresas-publicas-sociedades-economia-consideradas-juridica|Estou com essa dúvida e não posso copiar da internet, preciso de uma resposta atualizada! Desde já, muito obrigda!|empresarial
Posso criar uma página no Instagram onde divulgo fornecedores?|em 28 de agosto de 2020|0|/27450/posso-criar-uma-pagina-instagram-onde-divulgo-fornecedores|0|empresarial
Posso utilizar os logos dos meus clientes, para dar mais credibilidade, numa apresentação da empresa?|em 21 de agosto de 2020|0|/27353/posso-utilizar-clientes-credibilidade-apresentacao-empresa|0|empresarial
Funcionário público estadual de SP pode ser MEI?|em 17 de agosto de 2020|0|/27293/funcionario-publico-estadual-de-sp-pode-ser-mei|0|empresarial
O servidor público municipal pode ser presidente de uma cooperativa?|em 14 de agosto de 2020|0|/27242/servidor-publico-municipal-pode-ser-presidente-cooperativa|Depende do município.|empresarial
Professor de rede pública estadual de Minas Gerais pode ter MEI ou estar vinculado com alguma empresa de alguma forma?|em 28 de julho de 2020|0|/27045/professor-publica-estadual-vinculado-alguma-empresa-alguma|Sou professora da rede estadual de MG e quero empreender. Entretanto, ao consultar as leis relacionadas vi que funcionário público federal não pode ser MEI. Professores trabalham menos horas e por isso, estou com dúvida a respeito do assunto.|empresarial
Servidor do município de Belford Roxo pode ter MEI?|em 15 de julho de 2020|0|/26904/servidor-do-municipio-de-belford-roxo-pode-ter-mei|Quero saber se o servidor público de Belford Roxo pela legislação do município pode ter MEI ?|empresarial
Uma marca teria como pedir exclusividade do nome de uma cidade?|em 9 de julho de 2020|0|/26791/uma-marca-teria-como-pedir-exclusividade-do-nome-uma-cidade|0|empresarial
Servidor estadual, se ñ comerciar ou realizar serviços ao estado, pode abrir MEI?|em 6 de julho de 2020|0|/26745/servidor-estadual-comerciar-realizar-servicos-estado-abrir|0|empresarial
É permitido preparar comida em um restaurante para vender em outro?|em 2 de julho de 2020|0|/26694/permitido-preparar-comida-em-restaurante-para-vender-outro|tenho um restaurante e quero abrir em outro ponto da cidade , posso fazer a comida em um restaurante e levar p vender em outro local ?|empresarial
MEI afastado por causa da COVID-19 pode ter salário descontado?|em 27 de junho de 2020|0|/26617/mei-afastado-por-causa-da-covid-pode-ter-salario-descontado|Sou mei a 7 meses, trabalho na area da saude na linha de frente, se eu for afastado nesta pandemia, a empresa pode descontar do meu salario|empresarial
Pode ser usada marca registrada de produto como nome de uma empresa?|em 25 de junho de 2020|0|/26586/pode-ser-usada-marca-registrada-produto-como-nome-uma-empresa|0|empresarial
O dinheiro da sociedade em conta de participação do sócio ostensivo pode ser penhorado para pagamento de dívidas pessoais?|em 24 de junho de 2020|0|/26562/sociedade-participacao-ostensivo-penhorado-pagamento-pessoais|0|empresarial
Qual a finalidade da circular de oferta de franquia?|em 29 de maio de 2020|0|/26028/qual-a-finalidade-da-circular-de-oferta-de-franquia|0|empresarial
Encerrado o prazo do contrato de arrendamento mercantil, que opções poderá fazer o arrendatário?|em 29 de maio de 2020|0|/26027/encerrado-contrato-arrendamento-mercantil-arrendatario|0|empresarial
Que medida poderá tomar o credor para receber seu crédito, considerando que as duplicatas não foram aceitas?|em 28 de maio de 2020|0|/26015/podera-credor-receber-credito-considerando-duplicatas-aceitas|0|empresarial
Ocorrendo incorporação entre sociedades empresárias, como ficam os contratos celebrados entre ambas?|em 28 de maio de 2020|0|/26014/ocorrendo-incorporacao-sociedades-empresarias-celebrados|0|empresarial
Professora que trabalha como servidora pública estadual pode ser sócia de empresa?|em 22 de maio de 2020|0|/25828/professora-trabalha-servidora-publica-estadual-socia-empresa|Sou professora na Universidade Estadual de Minas Gerais. Sei que é proibido assumir cargos de gerencia e adm em empresa industrial, porem gostaria de saber se o meu cpf pode estar vinculado à abertura de empresa no ramo industrial?|empresarial
Duas pessoas que inauguraram um negocio sem registros em órgãos públicos tornam-se empresárias?|em 21 de maio de 2020|0|/25791/pessoas-inauguraram-negocio-registros-publicos-empresarias|0|empresarial
O que é cooperativa singular?|em 27 de abril de 2020|0|/25109/o-que-e-cooperativa-singular|0|empresarial
Clínica de odontologia em sociedade simples pode falir?|em 27 de abril de 2020|0|/25100/clinica-de-odontologia-em-sociedade-simples-pode-falir|no caso, a clinica de odontologia tem uma divida de R$100.000,00 (cem mil reais) da qual já passou o prazo para pagar, então por ser uma sociedade simples a clinica não pode ter decretada a falência?|empresarial
Um sócio que tem poderes de representação ativa e passiva pode vender um imóvel ou tem que ter uma cláusula especifica?|em 23 de abril de 2020|0|/25020/poderes-representacao-passiva-imovel-clausula-especifica|0|empresarial
Prefeitura pode falir?|em 20 de abril de 2020|0|/24952/prefeitura-pode-falir|0|empresarial
Professora da rede estadual de SP pode ser MEI?|em 4 de abril de 2020|0|/24557/professora-da-rede-estadual-de-sp-pode-ser-mei|Boa tarde! Sou professora da rede estadual de SP - (Efetiva/Concursada). Gostaria de saber se posso abrir uma MEI para atuar no ramo de motorista por aplicativo. Desde já agradeço a atenção.|empresarial
